日付,TTM
2025/1/1,
2025/1/2,
2025/1/3,
2025/1/4,
2025/1/5,
2025/1/6,157.73
2025/1/7,158.22
2025/1/8,158.09
2025/1/9,158.43
2025/1/10,158.18
2025/1/11,
2025/1/12,
2025/1/13,
2025/1/14,157.57
2025/1/15,158.08
2025/1/16,156.46
2025/1/17,155.25
2025/1/18,
2025/1/19,
2025/1/20,156.08
2025/1/21,156.1
2025/1/22,155.55
2025/1/23,156.5
2025/1/24,156.33
2025/1/25,
2025/1/26,
2025/1/27,155.6
2025/1/28,155.13
2025/1/29,155.68
2025/1/30,154.76
2025/1/31,154.43
2025/2/1,
2025/2/2,
2025/2/3,155.71
2025/2/4,155.35
2025/2/5,154.07
2025/2/6,152.61
2025/2/7,151.3
2025/2/8,
2025/2/9,
2025/2/10,151.96
2025/2/11,
2025/2/12,153.26
2025/2/13,154.51
2025/2/14,152.81
2025/2/15,
2025/2/16,
2025/2/17,151.91
2025/2/18,151.67
2025/2/19,152.14
2025/2/20,151.13
2025/2/21,149.86
2025/2/22,
2025/2/23,
2025/2/24,
2025/2/25,150.23
2025/2/26,148.92
2025/2/27,149.24
2025/2/28,149.67
2025/3/1,
2025/3/2,
2025/3/3,150.56
2025/3/4,149.26
2025/3/5,149.87
2025/3/6,149.25
2025/3/7,148.07
2025/3/8,
2025/3/9,
2025/3/10,147.38
2025/3/11,146.68
2025/3/12,148.08
2025/3/13,148.31
2025/3/14,148.35
2025/3/15,
2025/3/16,
2025/3/17,148.84
2025/3/18,149.53
2025/3/19,149.69
2025/3/20,
2025/3/21,149.06
2025/3/22,
2025/3/23,
2025/3/24,149.8
2025/3/25,150.95
2025/3/26,150.2
2025/3/27,150.58
2025/3/28,151.11
2025/3/29,
2025/3/30,
2025/3/31,149.52
2025/4/1,149.82
2025/4/2,149.84
2025/4/3,147.83
2025/4/4,146.03
2025/4/5,
2025/4/6,
2025/4/7,145.78
2025/4/8,147.77
2025/4/9,145.38
2025/4/10,146.91
2025/4/11,
2025/4/12,
2025/4/13,
2025/4/14,
2025/4/15,
2025/4/16,
2025/4/17,
2025/4/18,
2025/4/19,
2025/4/20,
2025/4/21,
2025/4/22,
2025/4/23,
2025/4/24,
2025/4/25,
2025/4/26,
2025/4/27,
2025/4/28,
2025/4/29,
2025/4/30,
2025/5/1,
2025/5/2,
2025/5/3,
2025/5/4,
2025/5/5,
2025/5/6,
2025/5/7,
2025/5/8,
2025/5/9,
2025/5/10,
2025/5/11,
2025/5/12,
2025/5/13,
2025/5/14,
2025/5/15,
2025/5/16,
2025/5/17,
2025/5/18,
